target,model,threshold
resu,XGBoost,0.06520465761423111
resu,LightGBM,0.06945935356887975
resuo,XGBoost,0.14753074944019318
resuo,LightGBM,0.1799267492807431
resup,XGBoost,0.18412579596042633
resup,LightGBM,0.18980617025918325
resui,XGBoost,0.3536979556083679
resui,LightGBM,0.3456836582034286
resuh,XGBoost,0.5445684194564819
resuh,LightGBM,0.47178137667221487
resue,XGBoost,0.6186565160751343
resue,LightGBM,0.5967530024340965
resuc,XGBoost,0.49440377950668335
resuc,LightGBM,0.42017427941199664
rds,XGBoost,0.2101527899503708
rds,LightGBM,0.2120325979862861
sft,XGBoost,0.21210980415344238
sft,LightGBM,0.23622570142993285
sftw,XGBoost,0.5316755175590515
sftw,LightGBM,0.5369884787741359
als,XGBoost,0.4897553026676178
als,LightGBM,0.4077836513187318
mph,XGBoost,0.5328826308250427
mph,LightGBM,0.48245735251895316
ph,XGBoost,0.5440040230751038
ph,LightGBM,0.5018866774215788
bpdyn,XGBoost,0.3411068320274353
bpdyn,LightGBM,0.32645994458556044
bpdm,XGBoost,0.46255311369895935
bpdm,LightGBM,0.46736384983304874
pdad,XGBoost,0.444343239068985
pdad,LightGBM,0.4396423809185171
acl,XGBoost,0.4239145815372467
acl,LightGBM,0.4148106375193243
lbp,XGBoost,0.5432206988334656
lbp,LightGBM,0.5272744429356756
ivh2,XGBoost,0.6250238418579102
ivh2,LightGBM,0.6012249799435487
ivh3,XGBoost,0.5213388800621033
ivh3,LightGBM,0.44782072217943714
pvl,XGBoost,0.36942756175994873
pvl,LightGBM,0.3636306332457523
seps,XGBoost,0.5274681448936462
seps,LightGBM,0.5274233649032444
ntet,XGBoost,0.5250889658927917
ntet,LightGBM,0.5048766253145376
pmio,XGBoost,0.5276563167572021
pmio,LightGBM,0.5196140753115576
eythtran,XGBoost,0.32237276434898376
eythtran,LightGBM,0.3090811018176484
deathyn,XGBoost,0.7390733957290649
deathyn,LightGBM,0.7425539529090511
supyn,XGBoost,0.5575510263442993
supyn,LightGBM,0.507348488491188
